county_name,year,month,rainfall_mm,rainfall_anomaly
Turkana,2019,1,9.0,16.9
Turkana,2019,2,9.9,28.6
Turkana,2019,3,82.2,49.5
Turkana,2019,4,69.1,25.6
Turkana,2019,5,60.0,9.1
Turkana,2019,6,11.2,45.5
Turkana,2019,7,9.7,26.0
Turkana,2019,8,9.9,28.6
Turkana,2019,9,9.8,27.3
Turkana,2019,10,67.7,44.8
Turkana,2019,11,67.7,44.8
Turkana,2019,12,62.2,33.0
Turkana,2020,1,5.2,-32.5
Turkana,2020,2,5.9,-23.4
Turkana,2020,3,46.7,-15.1
Turkana,2020,4,55.0,0.0
Turkana,2020,5,42.4,-22.9
Turkana,2020,6,5.1,-33.8
Turkana,2020,7,6.3,-18.2
Turkana,2020,8,6.4,-16.9
Turkana,2020,9,8.6,11.7
Turkana,2020,10,43.2,-7.6
Turkana,2020,11,47.3,1.2
Turkana,2020,12,34.6,-26.0
Turkana,2021,1,2.8,-63.6
Turkana,2021,2,2.8,-63.6
Turkana,2021,3,21.9,-60.2
Turkana,2021,4,30.0,-45.5
Turkana,2021,5,14.2,-74.2
Turkana,2021,6,2.7,-64.9
Turkana,2021,7,3.4,-55.8
Turkana,2021,8,2.5,-67.5
Turkana,2021,9,2.9,-62.3
Turkana,2021,10,20.4,-56.4
Turkana,2021,11,15.2,-67.5
Turkana,2021,12,15.6,-66.6
Turkana,2022,1,3.3,-57.1
Turkana,2022,2,2.9,-62.3
Turkana,2022,3,19.5,-64.5
Turkana,2022,4,21.4,-61.1
Turkana,2022,5,20.5,-62.7
Turkana,2022,6,3.0,-61.0
Turkana,2022,7,3.1,-59.7
Turkana,2022,8,2.4,-68.8
Turkana,2022,9,3.7,-51.9
Turkana,2022,10,21.7,-53.6
Turkana,2022,11,19.5,-58.3
Turkana,2022,12,17.3,-63.0
Turkana,2023,1,5.5,-28.6
Turkana,2023,2,5.4,-29.9
Turkana,2023,3,33.4,-39.3
Turkana,2023,4,30.8,-44.0
Turkana,2023,5,36.6,-33.5
Turkana,2023,6,6.5,-15.6
Turkana,2023,7,5.2,-32.5
Turkana,2023,8,4.5,-41.6
Turkana,2023,9,7.4,-3.9
Turkana,2023,10,73.8,57.9
Turkana,2023,11,80.8,72.8
Turkana,2023,12,69.6,48.9
Turkana,2024,1,8.1,5.2
Turkana,2024,2,9.5,23.4
Turkana,2024,3,90.7,64.9
Turkana,2024,4,87.7,59.5
Turkana,2024,5,65.0,18.2
Turkana,2024,6,8.2,6.5
Turkana,2024,7,10.3,33.8
Turkana,2024,8,7.6,-1.3
Turkana,2024,9,10.0,29.9
Turkana,2024,10,67.3,44.0
Turkana,2024,11,58.9,26.0
Turkana,2024,12,61.2,30.9
Marsabit,2019,1,14.0,66.7
Marsabit,2019,2,9.4,11.9
Marsabit,2019,3,90.3,44.7
Marsabit,2019,4,90.0,44.2
Marsabit,2019,5,87.6,40.4
Marsabit,2019,6,11.2,33.3
Marsabit,2019,7,13.8,64.3
Marsabit,2019,8,11.6,38.1
Marsabit,2019,9,8.4,0.0
Marsabit,2019,10,55.1,3.9
Marsabit,2019,11,70.9,33.7
Marsabit,2019,12,85.6,61.4
Marsabit,2020,1,8.9,6.0
Marsabit,2020,2,8.1,-3.6
Marsabit,2020,3,56.7,-9.1
Marsabit,2020,4,46.2,-26.0
Marsabit,2020,5,66.0,5.8
Marsabit,2020,6,8.4,0.0
Marsabit,2020,7,6.2,-26.2
Marsabit,2020,8,8.3,-1.2
Marsabit,2020,9,7.6,-9.5
Marsabit,2020,10,50.0,-5.7
Marsabit,2020,11,31.3,-41.0
Marsabit,2020,12,50.7,-4.4
Marsabit,2021,1,2.9,-65.5
Marsabit,2021,2,3.9,-53.6
Marsabit,2021,3,21.7,-65.2
Marsabit,2021,4,24.5,-60.7
Marsabit,2021,5,20.6,-67.0
Marsabit,2021,6,3.4,-59.5
Marsabit,2021,7,3.1,-63.1
Marsabit,2021,8,2.8,-66.7
Marsabit,2021,9,3.2,-61.9
Marsabit,2021,10,22.7,-57.2
Marsabit,2021,11,19.5,-63.2
Marsabit,2021,12,18.8,-64.6
Marsabit,2022,1,2.4,-71.4
Marsabit,2022,2,2.8,-66.7
Marsabit,2022,3,24.7,-60.4
Marsabit,2022,4,23.9,-61.7
Marsabit,2022,5,26.2,-58.0
Marsabit,2022,6,3.3,-60.7
Marsabit,2022,7,3.1,-63.1
Marsabit,2022,8,3.0,-64.3
Marsabit,2022,9,3.1,-63.1
Marsabit,2022,10,16.2,-69.5
Marsabit,2022,11,18.1,-65.9
Marsabit,2022,12,20.8,-60.8
Marsabit,2023,1,5.8,-31.0
Marsabit,2023,2,5.1,-39.3
Marsabit,2023,3,37.9,-39.3
Marsabit,2023,4,55.0,-11.9
Marsabit,2023,5,36.9,-40.9
Marsabit,2023,6,4.3,-48.8
Marsabit,2023,7,5.4,-35.7
Marsabit,2023,8,6.3,-25.0
Marsabit,2023,9,6.2,-26.2
Marsabit,2023,10,68.1,28.4
Marsabit,2023,11,102.1,92.5
Marsabit,2023,12,92.1,73.6
Marsabit,2024,1,10.6,26.2
Marsabit,2024,2,9.2,9.5
Marsabit,2024,3,81.7,30.9
Marsabit,2024,4,53.7,-13.9
Marsabit,2024,5,74.6,19.6
Marsabit,2024,6,9.0,7.1
Marsabit,2024,7,10.1,20.2
Marsabit,2024,8,10.0,19.0
Marsabit,2024,9,10.5,25.0
Marsabit,2024,10,80.6,52.0
Marsabit,2024,11,65.7,23.9
Marsabit,2024,12,70.6,33.1
Mandera,2019,1,11.0,57.1
Mandera,2019,2,10.1,44.3
Mandera,2019,3,54.8,-2.1
Mandera,2019,4,58.6,4.6
Mandera,2019,5,67.4,20.4
Mandera,2019,6,8.7,24.3
Mandera,2019,7,8.7,24.3
Mandera,2019,8,9.0,28.6
Mandera,2019,9,10.6,51.4
Mandera,2019,10,57.6,21.0
Mandera,2019,11,54.9,15.3
Mandera,2019,12,62.4,31.1
Mandera,2020,1,7.7,10.0
Mandera,2020,2,7.8,11.4
Mandera,2020,3,47.0,-16.1
Mandera,2020,4,55.2,-1.4
Mandera,2020,5,32.3,-42.3
Mandera,2020,6,5.5,-21.4
Mandera,2020,7,6.1,-12.9
Mandera,2020,8,5.3,-24.3
Mandera,2020,9,6.7,-4.3
Mandera,2020,10,55.9,17.4
Mandera,2020,11,38.0,-20.2
Mandera,2020,12,37.1,-22.1
Mandera,2021,1,2.7,-61.4
Mandera,2021,2,3.0,-57.1
Mandera,2021,3,23.0,-58.9
Mandera,2021,4,21.1,-62.3
Mandera,2021,5,21.9,-60.9
Mandera,2021,6,3.2,-54.3
Mandera,2021,7,1.7,-75.7
Mandera,2021,8,2.2,-68.6
Mandera,2021,9,2.2,-68.6
Mandera,2021,10,22.5,-52.7
Mandera,2021,11,23.0,-51.7
Mandera,2021,12,16.9,-64.5
Mandera,2022,1,2.8,-60.0
Mandera,2022,2,2.4,-65.7
Mandera,2022,3,19.2,-65.7
Mandera,2022,4,22.7,-59.5
Mandera,2022,5,18.0,-67.9
Mandera,2022,6,2.8,-60.0
Mandera,2022,7,2.9,-58.6
Mandera,2022,8,3.2,-54.3
Mandera,2022,9,2.8,-60.0
Mandera,2022,10,16.6,-65.1
Mandera,2022,11,15.3,-67.9
Mandera,2022,12,25.0,-47.5
Mandera,2023,1,4.7,-32.9
Mandera,2023,2,4.1,-41.4
Mandera,2023,3,30.4,-45.7
Mandera,2023,4,40.2,-28.2
Mandera,2023,5,42.8,-23.6
Mandera,2023,6,4.6,-34.3
Mandera,2023,7,6.1,-12.9
Mandera,2023,8,5.1,-27.1
Mandera,2023,9,5.8,-17.1
Mandera,2023,10,78.3,64.5
Mandera,2023,11,77.6,63.0
Mandera,2023,12,84.2,76.9
Mandera,2024,1,9.8,40.0
Mandera,2024,2,7.0,0.0
Mandera,2024,3,95.0,69.6
Mandera,2024,4,68.2,21.8
Mandera,2024,5,83.1,48.4
Mandera,2024,6,8.1,15.7
Mandera,2024,7,8.1,15.7
Mandera,2024,8,8.4,20.0
Mandera,2024,9,7.7,10.0
Mandera,2024,10,50.9,6.9
Mandera,2024,11,69.4,45.8
Mandera,2024,12,59.0,23.9
Garissa,2019,1,10.6,16.5
Garissa,2019,2,13.5,48.4
Garissa,2019,3,80.1,14.1
Garissa,2019,4,77.5,10.4
Garissa,2019,5,89.8,27.9
Garissa,2019,6,14.4,58.2
Garissa,2019,7,10.6,16.5
Garissa,2019,8,13.7,50.5
Garissa,2019,9,13.1,44.0
Garissa,2019,10,78.3,31.2
Garissa,2019,11,90.0,50.8
Garissa,2019,12,53.4,-10.5
Garissa,2020,1,6.9,-24.2
Garissa,2020,2,9.3,2.2
Garissa,2020,3,59.7,-15.0
Garissa,2020,4,60.3,-14.1
Garissa,2020,5,80.1,14.1
Garissa,2020,6,9.2,1.1
Garissa,2020,7,9.7,6.6
Garissa,2020,8,9.0,-1.1
Garissa,2020,9,8.3,-8.8
Garissa,2020,10,67.3,12.8
Garissa,2020,11,55.8,-6.5
Garissa,2020,12,55.3,-7.3
Garissa,2021,1,3.5,-61.5
Garissa,2021,2,3.4,-62.6
Garissa,2021,3,26.7,-62.0
Garissa,2021,4,25.9,-63.1
Garissa,2021,5,23.7,-66.2
Garissa,2021,6,3.7,-59.3
Garissa,2021,7,4.0,-56.0
Garissa,2021,8,3.5,-61.5
Garissa,2021,9,3.6,-60.4
Garissa,2021,10,26.4,-55.8
Garissa,2021,11,21.6,-63.8
Garissa,2021,12,20.7,-65.3
Garissa,2022,1,3.1,-65.9
Garissa,2022,2,3.6,-60.4
Garissa,2022,3,24.8,-64.7
Garissa,2022,4,18.2,-74.1
Garissa,2022,5,26.8,-61.8
Garissa,2022,6,2.1,-76.9
Garissa,2022,7,2.9,-68.1
Garissa,2022,8,3.0,-67.0
Garissa,2022,9,4.4,-51.6
Garissa,2022,10,22.8,-61.8
Garissa,2022,11,23.1,-61.3
Garissa,2022,12,25.6,-57.1
Garissa,2023,1,6.0,-34.1
Garissa,2023,2,6.4,-29.7
Garissa,2023,3,51.6,-26.5
Garissa,2023,4,54.1,-22.9
Garissa,2023,5,48.7,-30.6
Garissa,2023,6,7.2,-20.9
Garissa,2023,7,5.8,-36.3
Garissa,2023,8,5.4,-40.7
Garissa,2023,9,4.6,-49.5
Garissa,2023,10,95.2,59.5
Garissa,2023,11,101.8,70.6
Garissa,2023,12,81.1,35.9
Garissa,2024,1,13.5,48.4
Garissa,2024,2,8.5,-6.6
Garissa,2024,3,82.4,17.4
Garissa,2024,4,101.6,44.7
Garissa,2024,5,94.1,34.0
Garissa,2024,6,11.5,26.4
Garissa,2024,7,10.3,13.2
Garissa,2024,8,9.2,1.1
Garissa,2024,9,10.1,11.0
Garissa,2024,10,67.6,13.3
Garissa,2024,11,90.7,52.0
Garissa,2024,12,53.5,-10.3
Baringo,2019,1,26.5,37.7
Baringo,2019,2,33.3,73.0
Baringo,2019,3,157.7,30.3
Baringo,2019,4,174.3,44.0
Baringo,2019,5,170.9,41.2
Baringo,2019,6,25.6,33.0
Baringo,2019,7,26.8,39.2
Baringo,2019,8,30.7,59.5
Baringo,2019,9,27.3,41.8
Baringo,2019,10,62.9,-38.8
Baringo,2019,11,148.8,44.7
Baringo,2019,12,167.4,62.8
Baringo,2020,1,17.3,-10.1
Baringo,2020,2,17.7,-8.1
Baringo,2020,3,108.3,-10.5
Baringo,2020,4,96.8,-20.0
Baringo,2020,5,104.3,-13.8
Baringo,2020,6,18.9,-1.8
Baringo,2020,7,20.2,4.9
Baringo,2020,8,18.5,-3.9
Baringo,2020,9,17.9,-7.0
Baringo,2020,10,101.3,-1.5
Baringo,2020,11,88.4,-14.0
Baringo,2020,12,113.1,10.0
Baringo,2021,1,7.2,-62.6
Baringo,2021,2,7.4,-61.6
Baringo,2021,3,45.6,-62.3
Baringo,2021,4,50.4,-58.3
Baringo,2021,5,50.6,-58.2
Baringo,2021,6,7.7,-60.0
Baringo,2021,7,6.8,-64.7
Baringo,2021,8,6.2,-67.8
Baringo,2021,9,6.9,-64.2
Baringo,2021,10,40.9,-60.2
Baringo,2021,11,26.7,-74.0
Baringo,2021,12,39.3,-61.8
Baringo,2022,1,8.6,-55.3
Baringo,2022,2,7.8,-59.5
Baringo,2022,3,52.8,-56.4
Baringo,2022,4,50.7,-58.1
Baringo,2022,5,50.8,-58.0
Baringo,2022,6,6.4,-66.8
Baringo,2022,7,6.3,-67.3
Baringo,2022,8,7.1,-63.1
Baringo,2022,9,5.8,-69.9
Baringo,2022,10,41.5,-59.6
Baringo,2022,11,38.2,-62.9
Baringo,2022,12,45.7,-55.6
Baringo,2023,1,11.3,-41.3
Baringo,2023,2,13.3,-30.9
Baringo,2023,3,81.8,-32.4
Baringo,2023,4,87.6,-27.6
Baringo,2023,5,77.2,-36.2
Baringo,2023,6,13.2,-31.4
Baringo,2023,7,13.7,-28.8
Baringo,2023,8,10.4,-46.0
Baringo,2023,9,12.3,-36.1
Baringo,2023,10,174.3,69.5
Baringo,2023,11,209.9,104.1
Baringo,2023,12,201.3,95.7
Baringo,2024,1,26.2,36.1
Baringo,2024,2,26.6,38.2
Baringo,2024,3,180.8,49.4
Baringo,2024,4,145.1,19.9
Baringo,2024,5,153.6,26.9
Baringo,2024,6,22.8,18.4
Baringo,2024,7,25.7,33.5
Baringo,2024,8,23.2,20.5
Baringo,2024,9,30.5,58.4
Baringo,2024,10,88.1,-14.3
Baringo,2024,11,115.3,12.1
Baringo,2024,12,153.4,49.1
