county_name,period_start,period_end,ipc_phase,phase3plus_population,phase3plus_percent
Turkana,2019-01-01,2019-06-30,2,182422,19.7
Turkana,2019-07-01,2019-12-31,2,151864,16.4
Turkana,2020-01-01,2020-06-30,2,190756,20.6
Turkana,2020-07-01,2020-12-31,2,175940,19.0
Turkana,2021-01-01,2021-06-30,3,215758,23.3
Turkana,2021-07-01,2021-12-31,3,330582,35.7
Turkana,2022-01-01,2022-06-30,4,501892,54.2
Turkana,2022-07-01,2022-12-31,4,505596,54.6
Turkana,2023-01-01,2023-06-30,3,220388,23.8
Turkana,2023-07-01,2023-12-31,3,262058,28.3
Turkana,2024-01-01,2024-06-30,3,250020,27.0
Turkana,2024-07-01,2024-12-31,2,197238,21.3
Marsabit,2019-01-01,2019-06-30,2,84456,18.4
Marsabit,2019-07-01,2019-12-31,2,92718,20.2
Marsabit,2020-01-01,2020-06-30,2,75276,16.4
Marsabit,2020-07-01,2020-12-31,2,65637,14.3
Marsabit,2021-01-01,2021-06-30,3,136782,29.8
Marsabit,2021-07-01,2021-12-31,3,105111,22.9
Marsabit,2022-01-01,2022-06-30,4,253368,55.2
Marsabit,2022-07-01,2022-12-31,4,239139,52.1
Marsabit,2023-01-01,2023-06-30,3,149634,32.6
Marsabit,2023-07-01,2023-12-31,3,123930,27.0
Marsabit,2024-01-01,2024-06-30,3,145962,31.8
Marsabit,2024-07-01,2024-12-31,2,95931,20.9
Mandera,2019-01-01,2019-06-30,2,171666,19.8
Mandera,2019-07-01,2019-12-31,2,120513,13.9
Mandera,2020-01-01,2020-06-30,2,144789,16.7
Mandera,2020-07-01,2020-12-31,2,107508,12.4
Mandera,2021-01-01,2021-06-30,3,209814,24.2
Mandera,2021-07-01,2021-12-31,3,273972,31.6
Mandera,2022-01-01,2022-06-30,4,467313,53.9
Mandera,2022-07-01,2022-12-31,4,498525,57.5
Mandera,2023-01-01,2023-06-30,3,230622,26.6
Mandera,2023-07-01,2023-12-31,3,235824,27.2
Mandera,2024-01-01,2024-06-30,2,144789,16.7
Mandera,2024-07-01,2024-12-31,2,120513,13.9
Garissa,2019-01-01,2019-06-30,2,111853,13.3
Garissa,2019-07-01,2019-12-31,2,141288,16.8
Garissa,2020-01-01,2020-06-30,2,120263,14.3
Garissa,2020-07-01,2020-12-31,2,157267,18.7
Garissa,2021-01-01,2021-06-30,3,236321,28.1
Garissa,2021-07-01,2021-12-31,3,283417,33.7
Garissa,2022-01-01,2022-06-30,3,322944,38.4
Garissa,2022-07-01,2022-12-31,3,283417,33.7
Garissa,2023-01-01,2023-06-30,3,283417,33.7
Garissa,2023-07-01,2023-12-31,3,280053,33.3
Garissa,2024-01-01,2024-06-30,2,133719,15.9
Garissa,2024-07-01,2024-12-31,2,125309,14.9
Baringo,2019-01-01,2019-06-30,2,125208,18.8
Baringo,2019-07-01,2019-12-31,2,89244,13.4
Baringo,2020-01-01,2020-06-30,2,93240,14.0
Baringo,2020-07-01,2020-12-31,2,80586,12.1
Baringo,2021-01-01,2021-06-30,2,219780,33.0
Baringo,2021-07-01,2021-12-31,2,208458,31.3
Baringo,2022-01-01,2022-06-30,3,256410,38.5
Baringo,2022-07-01,2022-12-31,3,262404,39.4
Baringo,2023-01-01,2023-06-30,2,189144,28.4
Baringo,2023-07-01,2023-12-31,2,199800,30.0
Baringo,2024-01-01,2024-06-30,2,89244,13.4
Baringo,2024-07-01,2024-12-31,2,87246,13.1
