county_name,year,month,ndvi_mean,ndvi_anomaly
Turkana,2019,1,0.302,25.8
Turkana,2019,2,0.315,31.3
Turkana,2019,3,0.38,58.3
Turkana,2019,4,0.321,33.8
Turkana,2019,5,0.24,0.0
Turkana,2019,6,0.357,48.8
Turkana,2019,7,0.308,28.3
Turkana,2019,8,0.321,33.8
Turkana,2019,9,0.301,25.4
Turkana,2019,10,0.343,42.9
Turkana,2019,11,0.361,50.4
Turkana,2019,12,0.314,30.8
Turkana,2020,1,0.13,-45.8
Turkana,2020,2,0.189,-21.2
Turkana,2020,3,0.228,-5.0
Turkana,2020,4,0.221,-7.9
Turkana,2020,5,0.176,-26.7
Turkana,2020,6,0.164,-31.7
Turkana,2020,7,0.166,-30.8
Turkana,2020,8,0.202,-15.8
Turkana,2020,9,0.264,10.0
Turkana,2020,10,0.225,-6.2
Turkana,2020,11,0.25,4.2
Turkana,2020,12,0.162,-32.5
Turkana,2021,1,0.08,-66.7
Turkana,2021,2,0.08,-66.7
Turkana,2021,3,0.106,-55.8
Turkana,2021,4,0.135,-43.7
Turkana,2021,5,0.08,-66.7
Turkana,2021,6,0.08,-66.7
Turkana,2021,7,0.104,-56.7
Turkana,2021,8,0.08,-66.7
Turkana,2021,9,0.12,-50.0
Turkana,2021,10,0.089,-62.9
Turkana,2021,11,0.08,-66.7
Turkana,2021,12,0.09,-62.5
Turkana,2022,1,0.105,-56.3
Turkana,2022,2,0.08,-66.7
Turkana,2022,3,0.08,-66.7
Turkana,2022,4,0.119,-50.4
Turkana,2022,5,0.089,-62.9
Turkana,2022,6,0.08,-66.7
Turkana,2022,7,0.121,-49.6
Turkana,2022,8,0.08,-66.7
Turkana,2022,9,0.107,-55.4
Turkana,2022,10,0.084,-65.0
Turkana,2022,11,0.086,-64.2
Turkana,2022,12,0.089,-62.9
Turkana,2023,1,0.181,-24.6
Turkana,2023,2,0.148,-38.3
Turkana,2023,3,0.135,-43.7
Turkana,2023,4,0.131,-45.4
Turkana,2023,5,0.176,-26.7
Turkana,2023,6,0.198,-17.5
Turkana,2023,7,0.164,-31.7
Turkana,2023,8,0.138,-42.5
Turkana,2023,9,0.268,11.7
