county_name,observation_date,horizon,target_phase3plus,predicted_prob,predicted_class,rainfall_anomaly_lag1,ndvi_anomaly_lag1,maize_price_zscore,previous_ipc_phase,neighbour_mean_rainfall_anomaly,number_of_high_risk_neighbours
Mandera,2024-01-01,1,0,0.519,1,63.0,55.9,0.1060498909810225,3.0,92.5,1
Marsabit,2024-06-01,1,0,0.7439,1,-13.9,-21.9,0.087031706297906,3.0,40.65,1
Marsabit,2024-07-01,1,0,0.7404,1,19.6,33.8,0.2089781252513138,3.0,33.3,1
Turkana,2024-06-01,1,0,0.6068,1,59.5,86.3,0.2667116429653367,3.0,-13.9,1
Turkana,2024-07-01,1,0,0.6618,1,18.2,21.7,0.1603830328753937,3.0,19.6,1
Garissa,2024-01-01,2,0,0.5518,1,70.6,69.6,-0.1464968010006482,3.0,98.3,1
Mandera,2024-01-01,2,0,0.6118,1,63.0,55.9,0.1060498909810225,3.0,92.5,1
Marsabit,2024-05-01,2,0,0.6036,1,30.9,23.5,0.2648090158564886,3.0,67.25,1
Marsabit,2024-06-01,2,0,0.5933,1,-13.9,-21.9,0.087031706297906,3.0,40.65,1
Marsabit,2024-07-01,2,0,0.6006,1,19.6,33.8,0.2089781252513138,3.0,33.3,1
Turkana,2024-05-01,2,0,0.5185,1,64.9,57.1,0.3774099219630856,3.0,30.9,1
Turkana,2024-06-01,2,0,0.5635,1,59.5,86.3,0.2667116429653367,3.0,-13.9,1
Turkana,2024-07-01,2,0,0.5555,1,18.2,21.7,0.1603830328753937,3.0,19.6,1
Garissa,2024-01-01,3,0,0.5549,1,70.6,69.6,-0.1464968010006482,3.0,98.3,1
Mandera,2024-01-01,3,0,0.535,1,63.0,55.9,0.1060498909810225,3.0,92.5,1
Marsabit,2024-05-01,3,0,0.5215,1,30.9,23.5,0.2648090158564886,3.0,67.25,1
Marsabit,2024-06-01,3,0,0.566,1,-13.9,-21.9,0.087031706297906,3.0,40.65,1
Marsabit,2024-07-01,3,0,0.5399,1,19.6,33.8,0.2089781252513138,3.0,33.3,1
Turkana,2024-07-01,3,0,0.5471,1,18.2,21.7,0.1603830328753937,3.0,19.6,1
