experiment_id,timestamp,forecast_horizon,fold_name,model_name,feature_set,num_features,train_samples,test_samples,recall,precision,f1_score,roc_auc,pr_auc,brier_score,false_negative_rate,ablation_set,feature_count
exp_1m_fold1_drought_peak_persistence_e0342e,2026-09-25T14:45:21.141276+00:00,1,fold1_drought_peak,persistence,all_features,28,240,60,1.0,0.9388,0.9684,0.8929,0.9388,0.05,0.0,,
exp_1m_fold1_drought_peak_historical_frequency_323b9b,2026-09-25T14:45:21.161542+00:00,1,fold1_drought_peak,historical_frequency,all_features,28,240,60,0.0,0.0,0.0,0.5,0.7667,0.2689,1.0,,
exp_1m_fold1_drought_peak_seasonal_baseline_a66b53,2026-09-25T14:45:21.191489+00:00,1,fold1_drought_peak,seasonal_baseline,all_features,28,240,60,0.0435,0.4,0.0784,0.4146,0.7507,0.2842,0.9565,,
exp_1m_fold1_drought_peak_logistic_regression_598504,2026-09-25T14:45:21.231236+00:00,1,fold1_drought_peak,logistic_regression,all_features,28,240,60,0.8696,0.9756,0.9195,0.9317,0.9709,0.0835,0.1304,,
exp_1m_fold1_drought_peak_random_forest_8a261b,2026-09-25T14:45:21.481351+00:00,1,fold1_drought_peak,random_forest,all_features,28,240,60,1.0,0.92,0.9583,0.941,0.9697,0.0805,0.0,,
exp_1m_fold1_drought_peak_hist_gradient_boosting_12d44e,2026-09-25T14:45:21.697219+00:00,1,fold1_drought_peak,hist_gradient_boosting,all_features,28,240,60,0.8913,0.9762,0.9318,0.9317,0.9624,0.0748,0.1087,,
exp_1m_fold1_drought_peak_calibrated_ensemble_5d229e,2026-09-25T14:45:22.151260+00:00,1,fold1_drought_peak,calibrated_ensemble,all_features,28,240,60,0.913,0.9767,0.9438,0.941,0.9683,0.0658,0.087,,
exp_1m_fold2_recovery_transition_persistence_d60e6b,2026-09-25T14:45:22.189213+00:00,1,fold2_recovery_transition,persistence,all_features,28,300,55,1.0,0.625,0.7692,0.9333,0.625,0.1091,0.0,,
exp_1m_fold2_recovery_transition_historical_frequency_676ee0,2026-09-25T14:45:22.234986+00:00,1,fold2_recovery_transition,historical_frequency,all_features,28,300,55,1.0,0.1818,0.3077,0.5,0.1818,0.2677,0.0,,
exp_1m_fold2_recovery_transition_seasonal_baseline_6ca10e,2026-09-25T14:45:22.263600+00:00,1,fold2_recovery_transition,seasonal_baseline,all_features,28,300,55,1.0,0.1818,0.3077,0.5,0.1818,0.2631,0.0,,
exp_1m_fold2_recovery_transition_logistic_regression_fea6b1,2026-09-25T14:45:22.301366+00:00,1,fold2_recovery_transition,logistic_regression,all_features,28,300,55,0.1,0.5,0.1667,0.82,0.4077,0.128,0.9,,
exp_1m_fold2_recovery_transition_random_forest_160e22,2026-09-25T14:45:22.482621+00:00,1,fold2_recovery_transition,random_forest,all_features,28,300,55,0.9,0.6429,0.75,0.9156,0.5549,0.0924,0.1,,
exp_1m_fold2_recovery_transition_hist_gradient_boosting_b8a871,2026-09-25T14:45:23.611552+00:00,1,fold2_recovery_transition,hist_gradient_boosting,all_features,28,300,55,0.2,0.2,0.2,0.6622,0.2808,0.2083,0.8,,
exp_1m_fold2_recovery_transition_calibrated_ensemble_2eb143,2026-09-25T14:45:25.117614+00:00,1,fold2_recovery_transition,calibrated_ensemble,all_features,28,300,55,0.2,0.2857,0.2353,0.8378,0.3968,0.1294,0.8,,
exp_2m_fold1_drought_peak_persistence_5d3068,2026-09-25T14:45:25.175444+00:00,2,fold1_drought_peak,persistence,all_features,28,240,60,1.0,0.898,0.9462,0.8438,0.898,0.0833,0.0,,
exp_2m_fold1_drought_peak_historical_frequency_e5bfad,2026-09-25T14:45:25.211676+00:00,2,fold1_drought_peak,historical_frequency,all_features,28,240,60,0.0,0.0,0.0,0.5,0.7333,0.2581,1.0,,
