threshold,precision,recall,f1_score,roc_auc,pr_auc,brier_score,false_negative_rate,true_positives,false_negatives,true_negatives,false_positives,confusion_matrix,model,horizon,split
0.2,0.7667,1.0,0.8679,0.941,0.9755,0.0789,0.0,46,0,0,14,"[[0, 14], [0, 46]]",logistic_regression,1,val_2023
0.45,0.7667,1.0,0.8679,0.9301,0.9747,0.1186,0.0,46,0,0,14,"[[0, 14], [0, 46]]",random_forest,1,val_2023
0.1,0.7667,1.0,0.8679,0.9224,0.9406,0.0774,0.0,46,0,0,14,"[[0, 14], [0, 46]]",hist_gradient_boosting,1,val_2023
0.1,0.1818,1.0,0.3077,0.7733,0.368,0.1707,0.0,10,0,0,45,"[[0, 45], [0, 10]]",hist_gradient_boosting,1,test_2024
0.1,0.7333,1.0,0.8462,0.8821,0.9498,0.1308,0.0,44,0,0,16,"[[0, 16], [0, 44]]",logistic_regression,2,val_2023
0.5,0.7333,1.0,0.8462,0.9304,0.975,0.1489,0.0,44,0,0,16,"[[0, 16], [0, 44]]",random_forest,2,val_2023
0.1,0.7333,1.0,0.8462,0.9418,0.9777,0.1186,0.0,44,0,0,16,"[[0, 16], [0, 44]]",hist_gradient_boosting,2,val_2023
0.1,0.16,1.0,0.2759,0.6964,0.2526,0.1678,0.0,8,0,0,42,"[[0, 42], [0, 8]]",hist_gradient_boosting,2,test_2024
0.1,0.7,1.0,0.8235,0.8108,0.8888,0.1722,0.0,42,0,0,18,"[[0, 18], [0, 42]]",logistic_regression,3,val_2023
0.55,0.84,1.0,0.913,0.9643,0.9857,0.1407,0.0,42,0,10,8,"[[10, 8], [0, 42]]",random_forest,3,val_2023
0.1,0.7,1.0,0.8235,0.8505,0.9253,0.1608,0.0,42,0,0,18,"[[0, 18], [0, 42]]",hist_gradient_boosting,3,val_2023
0.35,0.2727,1.0,0.4286,0.7778,0.2691,0.18,0.0,6,0,23,16,"[[23, 16], [0, 6]]",random_forest,3,test_2024
