horizon,model,pred_prob_bin,true_prob_bin,brier_score
1,hist_gradient_boosting,0.2753,0.1591,0.1707
1,hist_gradient_boosting,0.4999,0.25,0.1707
1,hist_gradient_boosting,0.7406,0.0,0.1707
1,hist_gradient_boosting,0.8494,0.5,0.1707
2,hist_gradient_boosting,0.2474,0.1628,0.1678
2,hist_gradient_boosting,0.4637,0.25,0.1678
2,hist_gradient_boosting,0.6457,0.0,0.1678
2,hist_gradient_boosting,0.8112,0.0,0.1678
3,random_forest,0.2516,0.0,0.18
3,random_forest,0.5201,0.2857,0.18
3,random_forest,0.6935,0.3077,0.18
